window_size,hidden_size,num_layers,n_epochs,learning_rate,mse_val
30,30,2,500,0.01,0.00010749028297141194
30,30,2,500,0.05,8.685627108206972e-05
30,30,2,500,0.001,0.0004705335886683315
30,30,2,1000,0.01,8.847517165122554e-05
30,30,2,1000,0.05,8.949582115747035e-05
30,30,2,1000,0.001,0.00020024336117785424
30,30,2,1500,0.01,8.451068424619734e-05
30,30,2,1500,0.05,0.00010400615428807214
30,30,2,1500,0.001,0.00018506745982449502
30,30,3,500,0.01,0.00010353943071095273
30,30,3,500,0.05,0.00010594551713438705
30,30,3,500,0.001,0.0004523871175479144
30,30,3,1000,0.01,8.125837484840304e-05
30,30,3,1000,0.05,0.00010751747322501615
30,30,3,1000,0.001,0.00016201256948988885
30,30,3,1500,0.01,9.248196874978021e-05
30,30,3,1500,0.05,0.00013788920477963984
30,30,3,1500,0.001,0.00014542978897225112
30,40,1,500,0.01,9.181397763313726e-05
30,40,1,500,0.05,8.478647214360535e-05
30,40,1,500,0.001,0.00025637925136834383
30,40,1,1000,0.01,8.066705049714074e-05
30,40,1,1000,0.05,8.084420551313087e-05
30,40,1,1000,0.001,0.00022979883942753077
30,40,1,1500,0.01,8.225452620536089e-05
30,40,1,1500,0.05,7.934828317956999e-05
30,40,1,1500,0.001,0.0001822631456889212
30,40,2,500,0.01,9.678358037490398e-05
30,40,2,500,0.05,9.52465197769925e-05
30,40,2,500,0.001,0.00038585608126595616
30,40,2,1000,0.01,8.779828203842044e-05
30,40,2,1000,0.05,9.065075573744252e-05
30,40,2,1000,0.001,0.00016266119200736284
30,40,2,1500,0.01,8.894042548490688e-05
30,40,2,1500,0.05,9.518401202512905e-05
30,40,2,1500,0.001,0.00012264143151696771
30,40,3,500,0.01,0.00013101146032568067
30,40,3,500,0.05,0.00019653266645036638
30,40,3,500,0.001,0.00026985284057445824
30,40,3,1000,0.01,8.586027979617938e-05
30,40,3,1000,0.05,0.00011274220742052421
30,40,3,1000,0.001,0.000135781621793285
30,40,3,1500,0.01,9.031195077113807e-05
30,40,3,1500,0.05,0.00010159834346268326
30,40,3,1500,0.001,0.0001061049842974171
40,20,1,500,0.01,9.702637180453166e-05
40,20,1,500,0.05,0.00012086818605894223
40,20,1,500,0.001,0.0004333576944191009
40,20,1,1000,0.01,9.332035551778972e-05
40,20,1,1000,0.05,8.085423178272322e-05
40,20,1,1000,0.001,0.0003263471298851073
40,20,1,1500,0.01,8.234760753111914e-05
40,20,1,1500,0.05,8.599859575042501e-05
40,20,1,1500,0.001,0.0002062519924947992
40,20,2,500,0.01,8.526052261004224e-05
40,20,2,500,0.05,9.258708450943232e-05
40,20,2,500,0.001,0.0007224315777420998
40,20,2,1000,0.01,8.181986049748957e-05
40,20,2,1000,0.05,8.414546027779579e-05
40,20,2,1000,0.001,0.00027995530399493873
40,20,2,1500,0.01,7.978714711498469e-05
40,20,2,1500,0.05,7.565909618278965e-05
40,20,2,1500,0.001,0.00016155175399035215
40,20,3,500,0.01,9.047133062267676e-05
40,20,3,500,0.05,8.802058437140658e-05
40,20,3,500,0.001,0.0006540293688885868
40,20,3,1000,0.01,8.827370766084641e-05
40,20,3,1000,0.05,9.661837248131633e-05
40,20,3,1000,0.001,0.00028991184080950916
40,20,3,1500,0.01,6.774779467377812e-05
40,20,3,1500,0.05,0.00016173702897503972
