Open_pred,High_pred,Low_pred,Close_pred,Open,High,Low,Close
289.37857,291.3652,286.8197,289.2369,778.81,789.63,775.8,786.14
290.2406,292.2781,287.5653,290.2052,788.36,791.34,783.16,786.9
291.93158,294.0233,289.31946,292.07977,786.08,794.48,785.02,794.02
296.80954,299.10342,294.32166,297.21112,795.26,807.9000000000001,792.2,806.15
302.35666,305.00922,299.6726,302.7442,806.4,809.97,802.83,806.65
302.04663,304.75418,299.09512,302.406,807.86,809.1300000000001,803.51,804.79
303.44574,306.2251,300.76224,304.0972,805.0,808.1500000000001,801.37,807.91
304.73938,307.56064,302.0791,305.45938,807.14,807.3900000000001,799.17,806.36
301.80017,304.65555,299.05576,302.34537,807.48,811.22,806.69,807.88
305.35214,308.1127,303.08826,306.266,807.08,807.1400000000001,800.37,804.61
303.34113,306.26862,300.86295,303.9891,805.81,806.21,800.99,806.07
301.94766,304.91293,299.59674,302.60162,805.12,809.48,801.8,802.17
301.74734,304.68207,299.60815,302.34058,806.91,806.9100000000001,801.69,805.02
301.4897,304.2774,299.35947,302.07016,807.25,820.8700000000001,803.74,819.31
305.49652,308.41956,303.46442,306.16107,822.3,825.9000000000001,817.82,823.87
303.42798,306.3977,300.98328,303.83582,829.62,835.77,825.06,835.67
301.53482,304.41248,299.38162,302.06036,837.81,838.0,827.01,832.15
303.8631,306.62714,301.921,304.58716,834.71,841.95,820.44,823.31
303.49826,306.3249,301.29965,304.04517,814.66,815.8400000000001,799.8,802.32
307.31824,310.2243,305.3257,308.04556,796.86,801.25,790.52,796.79
308.34802,311.3366,306.00677,308.9654,291.38,291.66,288.49,289.33066933066937
309.9479,312.935,307.7395,310.73398,291.34,292.11,289.95,291.4635364635365
309.59177,312.5517,307.27133,310.33487,294.23,297.42,292.93,297.0529470529471
306.19925,309.28842,303.71576,306.7277,296.39,304.27,295.9,303.4065934065934
300.4428,303.46332,298.0522,300.6502,302.44,303.56,300.75,302.25274725274727
303.32672,305.93845,301.4309,303.9221,303.18,304.53,301.24,303.7862137862138
303.1755,305.799,301.0366,303.65588,304.87,306.1,303.36,304.5904095904096
300.17538,302.93872,297.73056,300.4146,302.81,302.93,300.87,301.8231768231769
301.7973,304.35776,299.70352,302.1936,304.11,305.77,303.87,304.95504495504497
306.95685,309.63403,305.00647,307.54333,304.63,304.86,301.25,303.7412587412588
307.22467,310.04028,304.7453,307.6112,305.32,305.32,300.15,301.64835164835165
309.16348,312.01794,306.87598,309.76816,300.28,303.27,297.75,302.1278721278722
311.02176,313.90082,308.73804,311.7204,301.36,302.68,300.08,301.18881118881126
314.90002,318.03357,312.5594,315.60385,300.81,307.79,300.31,305.85414585414594
314.9472,318.09778,312.46176,315.58398,304.84,307.24,302.22,302.83716283716285
318.82053,322.10504,316.40472,319.6319,302.37,302.83,299.05,301.92307692307696
