predicted,actual
290.819,290.0286397976871
291.14697,292.17320204152344
293.0737,297.793260942818
298.23404,304.18174612820377
304.3457,303.02157311104645
303.6202,304.56344807324257
305.01718,305.3720535094431
305.84116,302.58964722587103
303.35938,305.7386882724409
306.16797,304.5182465271196
305.18924,302.4138634353926
303.24738,302.8960132607048
303.6073,301.95180318613524
302.7775,306.64271919490125
307.0621,303.6091932106456
304.46164,302.6900951061444
303.52637,304.58856004331096
305.21802,304.29223879650453
305.041,308.8425277728878
309.2289,308.77221425669643
309.34387,310.85148537835505
311.29718,310.2739100667832
310.8357,306.7682790452429
307.5916,302.1125197945725
303.17587,303.0366402930875
303.8607,303.20740168955217
304.04498,299.75701700216223
300.88492,302.20794528083223
302.97058,308.53616173805403
308.86697,307.63715320960745
308.3136,310.21364133861914
310.6671,312.1723750039498
312.57153,316.647328070128
316.8438,316.40625315747195
316.77667,319.6557420843152
319.84836,322.6942904625844
322.8216,320.9615645278689
321.3129,324.3366133050539
324.48767,323.1814626819102
323.50363,327.5559678678152
327.67673,323.8745530557964
324.28516,320.28354133602375
320.86014,323.13123874177353
323.4829,320.97663170990995
321.5491,317.2349481697272
317.98688,315.8186330578728
316.554,315.07531874384995
315.8294,313.0814283204237
313.93692,317.6417620848343
318.12488,325.18037549935013
325.33035,311.95138966734834
313.041,302.6700055300897
304.0825,304.42282104085984
305.38202,303.3630959039759
304.4725,299.2798895708637
300.642,297.65765630444895
298.9323,298.42608258854017
299.51636,300.2642787975427
301.1875,304.49815695106486
305.1046,307.37598872089666
307.91107,307.13491380824064
307.7986,302.05727346042227
303.09494,301.85135530586183
302.71536,303.2676704177162
303.9902,305.15106817284175
305.78793,298.1146941596928
299.3874,303.4133198441126
303.96048,306.0350095192473
306.56958,304.2118804922858
305.03458,306.47195779843645
307.02554,302.2481244329416
303.221,301.6353923632741
302.52063,305.1962697189648
305.73962,314.121063881253
314.13977,311.1729185952298
311.76556,299.83235291236724
301.16748,306.69796552905154
307.10254,300.033248672914
301.23093,304.3675747067095
304.9971,301.4646309668094
302.44043,295.387534210271
296.79977,296.79380453409806
297.78412,293.73516657977416
295.03787,290.04370697972814
291.54562,285.096648876265
286.85815,288.90864593263916
289.96228,284.81037241748595
286.44894,289.89805755333174
290.74744,288.7278397481471
289.9304,289.8377888251677
290.87354,283.8510951608754
285.52985,282.1485035902419
283.68118,280.13954598477466
281.7354,279.12
280.68124,281.85218234343546
282.97687,285.03135775408737
285.94196,290.3802073786439
290.91055,288.366227379163
289.44873,282.20374992439224
283.85516,285.34241470492987
286.27982,279.9436726182416
281.64297,281.93756304166783
283.09933,284.25288668196885
285.2204,281.7517344631621
283.17044,289.64693785264836
290.02386,289.84783361319506
290.69366,293.53427081922746
294.0738,297.5873427882576
297.94226,292.61015032071253
293.69495,292.6252175027535
293.5025,290.46558807687626
291.54904,285.20211915055205
286.74222,284.84552917558165
286.1316,287.86901037180985
288.77722,287.0704497236366
288.24463,287.9744806460968
289.01196,289.9934830395914
290.85718,296.15596049436226
296.5213,305.0506202925684
304.95367,307.39607829695143
307.60535,303.4233646321399
304.09506,303.634305180714
304.17133,306.32128597802637
306.68546,317.13952268346753
316.8507,315.8085882698455
316.07187,316.1450886687612
316.40454,315.9994392423649
316.29993,314.03066078900696
314.52792,320.32874288214674
320.40332,321.0770795901833
321.32898,319.93699614908064
320.32382,320.7807583433769
321.1031,320.8410270715409
321.22528,320.6652432810625
321.0947,329.6854629296104
329.63608,334.01978896340603
334.0134,333.45728083387513
333.58447,336.12919444914655
336.142,338.26873429896915
338.28693,337.4651512567823
337.59128,334.44669245456777
