predicted,actual
290.6108,290.0286397976871
291.2195,292.17320204152344
292.43985,297.793260942818
295.70273,304.18174612820377
300.67114,303.02157311104645
302.9951,304.56344807324257
304.4752,305.3720535094431
305.49335,302.58964722587103
304.653,305.7386882724409
305.44495,304.5182465271196
305.53467,302.4138634353926
304.4922,302.8960132607048
304.02765,301.95180318613524
303.44522,306.64271919490125
305.32617,303.6091932106456
305.23148,302.6900951061444
304.44504,304.58856004331096
304.8351,304.29223879650453
305.077,308.8425277728878
307.31775,308.77221425669643
308.7201,310.85148537835505
310.28183,310.2739100667832
310.8096,306.7682790452429
309.2459,302.1125197945725
305.97034,303.0366402930875
304.5415,303.20740168955217
304.18097,299.75701700216223
302.54474,302.20794528083223
302.65134,308.53616173805403
305.92,307.63715320960745
307.6431,310.21364133861914
309.47903,312.1723750039498
311.3519,316.647328070128
314.4579,316.40625315747195
316.0676,319.6557420843152
318.23566,322.6942904625844
320.88983,320.9615645278689
321.38904,324.3366133050539
323.0226,323.1814626819102
323.39728,327.5559678678152
325.6184,323.8745530557964
325.07327,320.28354133602375
322.63565,323.13123874177353
322.6699,320.97663170990995
321.9543,317.2349481697272
319.64612,315.8186330578728
317.62576,315.07531874384995
316.32895,313.0814283204237
314.82397,317.6417620848343
316.2789,325.18037549935013
321.12543,311.95138966734834
317.38943,302.6700055300897
309.8937,304.42282104085984
306.6128,303.3630959039759
305.08405,299.2798895708637
302.6536,297.65765630444895
300.51883,298.42608258854017
299.8113,300.2642787975427
300.49655,304.49815695106486
303.00616,307.37598872089666
305.90912,307.13491380824064
307.31638,302.05727346042227
305.39185,301.85135530586183
303.8478,303.2676704177162
303.80457,305.15106817284175
304.89807,298.1146941596928
302.33292,303.4133198441126
302.94244,306.0350095192473
304.96548,304.2118804922858
305.35138,306.47195779843645
306.3484,302.2481244329416
304.95715,301.6353923632741
303.62,305.1962697189648
304.6244,314.121063881253
309.70914,311.1729185952298
311.49622,299.83235291236724
306.44708,306.69796552905154
306.21973,300.033248672914
303.70328,304.3675747067095
304.1272,301.4646309668094
303.42465,295.387534210271
300.07187,296.79380453409806
298.616,293.73516657977416
296.76352,290.04370697972814
